"Model","Predictor","Trait","Lab","Sex","Population","Estimate","SE"
"lmer","pop","CCRT","Vieira","F","AK",1582.02174233432,64.3507412678998
"lmer","pop","CCRT","Vieira","F","GI",1526.9085044929,76.7920667705699
"lmer","pop","CCRT","Vieira","F","KA",1388.13775795027,63.067062469647
"lmer","pop","CCRT","Vieira","F","MA",1294.8292895956,64.9103115747244
"lmer","pop","CCRT","Vieira","F","MU",1532.41378330464,68.0113532351333
"lmer","pop","CCRT","Vieira","F","RE",1434.20633407269,67.8845436958058
"lmer","pop","CCRT","Vieira","F","UM",1714.00041679648,66.0005500730195
"lmer","pop","CCRT","Vieira","F","VA",1401.56576002652,65.0970287020304
"lmer","pop","CCRT","Vieira","F","YE",1482.00072046838,62.4702418421159
"lmer","pop","CCRT","Mensch","F","AK",1833.37097663517,85.0156384558416
"lmer","pop","CCRT","Mensch","F","GI",1499.03686890285,100.330981112381
"lmer","pop","CCRT","Mensch","F","KA",1654.98123080002,85.1639784929012
"lmer","pop","CCRT","Mensch","F","MA",1793.62199258261,85.6067932009894
"lmer","pop","CCRT","Mensch","F","MU",1772.27855388989,86.6955047260201
"lmer","pop","CCRT","Mensch","F","RE",1653.8065867736,94.3901429760241
"lmer","pop","CCRT","Mensch","F","UM",1883.20347649398,92.3214621620197
"lmer","pop","CCRT","Mensch","F","VA",1720.23711676145,85.6792988167742
"lmer","pop","CCRT","Mensch","F","YE",1900.44698022351,87.7480367645609
"lmer","pop","CCRT","Vieira","M","AK",1563.50833333342,60.0927672170851
"lmer","pop","CCRT","Vieira","M","GI",1844.85897435897,74.5359043250205
"lmer","pop","CCRT","Vieira","M","KA",1445.65226329209,60.5041014943613
"lmer","pop","CCRT","Vieira","M","MA",1329.62440660003,60.194841674974
"lmer","pop","CCRT","Vieira","M","MU",1694.40833333333,60.0927672170836
"lmer","pop","CCRT","Vieira","M","RE",1563.65016911579,67.3284973869522
"lmer","pop","CCRT","Vieira","M","UM",1578.36346974756,61.8749555239499
"lmer","pop","CCRT","Vieira","M","VA",1505.40061128789,60.2974195418457
"lmer","pop","CCRT","Vieira","M","YE",1653.14351267445,60.6082136818365
"lmer","pop","CCRT","Mensch","M","AK",1783.65386197409,81.4461463468853
"lmer","pop","CCRT","Mensch","M","GI",1644.1702254859,94.4242910927319
"lmer","pop","CCRT","Mensch","M","KA",1761.3058023076,82.0216242006333
"lmer","pop","CCRT","Mensch","M","MA",1638.76179882595,81.0054005131416
"lmer","pop","CCRT","Mensch","M","MU",1683.58917809851,82.2063998818275
"lmer","pop","CCRT","Mensch","M","RE",1507.0964399229,88.6092534073882
"lmer","pop","CCRT","Mensch","M","UM",1674.21163115122,87.5429526886186
"lmer","pop","CCRT","Mensch","M","VA",1565.80421330099,81.7632901481655
"lmer","pop","CCRT","Mensch","M","YE",1828.84735743103,88.3296684389214
"lmer","pop","CSM","Gonzalez","F","AK",1.32326391726312,0.0540530379236886
"lmer","pop","CSM","Gonzalez","F","GI",1.15116680537529,0.0595384073364142
"lmer","pop","CSM","Gonzalez","F","KA",1.23515564411019,0.0585323498273632
"lmer","pop","CSM","Gonzalez","F","MA",1.23606678307624,0.054209340605308
"lmer","pop","CSM","Gonzalez","F","MU",1.28762321383996,0.054514140287524
